rank	freq	highest	term1	term2	norMean	mean	sum	items
0.16	3	703	lidocaine	"anemia, sickle cell"	18.94	27.90	3208	115
0.16	3	703	lidocaine	"arteritis"	18.94	27.90	3208	115
0.16	3	703	lidocaine	"crohn disease"	18.94	27.90	3208	115
0.16	3	703	lidocaine	"depressive disorder"	18.94	27.90	3208	115
0.16	3	703	lidocaine	"dermatitis, atopic"	18.94	27.90	3208	115
0.16	3	703	lidocaine	"dry eye syndromes"	18.94	27.90	3208	115
0.16	3	703	lidocaine	"granuloma"	18.94	27.90	3208	115
0.16	3	703	lidocaine	"lymphedema"	18.94	27.90	3208	115
0.16	3	703	lidocaine	"lymphoma, non-hodgkin"	18.94	27.90	3208	115
0.16	3	703	lidocaine	"rhinitis, allergic, seasonal"	18.94	27.90	3208	115
0.16	3	703	lidocaine	"xerostomia"	18.94	27.90	3208	115
0.16	3	767	trimethoprim	"bipolar disorder"	18.61	28.63	2548	89
0.16	3	767	trimethoprim	"blepharitis"	18.61	28.63	2548	89
0.16	3	767	trimethoprim	"cushing syndrome"	18.61	28.63	2548	89
0.16	3	767	trimethoprim	"eczema"	18.61	28.63	2548	89
0.16	3	767	trimethoprim	"gastritis"	18.61	28.63	2548	89
0.16	3	767	trimethoprim	"glaucoma"	18.61	28.63	2548	89
0.16	3	767	trimethoprim	"ocular hypertension"	18.61	28.63	2548	89
0.16	3	767	trimethoprim	"schizophrenia"	18.61	28.63	2548	89
0.16	3	767	trimethoprim	"xerostomia"	18.61	28.63	2548	89
0.16	3	849	rosiglitazone	"encephalitis"	18.95	35.82	1970	55
0.16	3	849	rosiglitazone	"lupus erythematosus, systemic"	18.95	35.82	1970	55
0.16	3	849	rosiglitazone	"lymphoma, non-hodgkin"	18.95	35.82	1970	55
0.16	3	849	rosiglitazone	"mycoses"	18.95	35.82	1970	55
0.16	3	849	rosiglitazone	"schizophrenia"	18.95	35.82	1970	55
0.16	3	96	denosumab	"carcinoma, non-small-cell lung"	19.29	19.29	135	7
0.16	3	96	denosumab	"leukemia"	19.29	19.29	135	7
0.16	4	190	epirubicin	"cystitis"	24.46	28.73	747	26
0.16	4	190	epirubicin	"mycoses"	24.46	28.73	747	26
0.16	4	195	molsidomine	"nephritis"	25.21	32.93	461	14
0.16	4	264	carmustine	"histiocytosis"	25.12	37.76	642	17
0.16	4	264	carmustine	"mycoses"	25.12	37.76	642	17
0.16	4	264	carmustine	"respiratory distress syndrome, adult"	25.12	37.76	642	17
0.16	4	2800	clozapine	"amenorrhea"	24.30	83.38	4419	53
0.16	4	2800	clozapine	"diabetes mellitus, type 1"	24.30	83.38	4419	53
0.16	4	2800	clozapine	"gastroesophageal reflux"	24.30	83.38	4419	53
0.16	4	2800	clozapine	"leukemia"	24.30	83.38	4419	53
0.16	4	2800	clozapine	"lupus erythematosus, systemic"	24.30	83.38	4419	53
0.16	4	2800	clozapine	"multiple sclerosis"	24.30	83.38	4419	53
0.16	4	2800	clozapine	"myocardial ischemia"	24.30	83.38	4419	53
0.16	4	2800	clozapine	"vomiting"	24.30	83.38	4419	53
0.16	4	302	benznidazole	"leukemia"	25.09	61.00	671	11
0.16	4	323	tacrolimus	"arteritis"	25.17	33.09	3706	112
0.16	4	323	tacrolimus	"depressive disorder"	25.17	33.09	3706	112
0.16	4	323	tacrolimus	"diabetic angiopathies"	25.17	33.09	3706	112
0.16	4	323	tacrolimus	"foot ulcer"	25.17	33.09	3706	112
0.16	4	323	tacrolimus	"glaucoma"	25.17	33.09	3706	112
0.16	4	323	tacrolimus	"megacolon"	25.17	33.09	3706	112
0.16	4	323	tacrolimus	"ocular hypertension"	25.17	33.09	3706	112
0.16	4	323	tacrolimus	"periodontitis"	25.17	33.09	3706	112
0.16	4	323	tacrolimus	"respiratory distress syndrome, adult"	25.17	33.09	3706	112
0.16	4	377	leucine	"alopecia"	24.45	29.64	3794	128
0.16	4	377	leucine	"antiphospholipid syndrome"	24.45	29.64	3794	128
0.16	4	377	leucine	"conjunctival diseases"	24.45	29.64	3794	128
0.16	4	377	leucine	"cystitis"	24.45	29.64	3794	128
0.16	4	377	leucine	"gastritis"	24.45	29.64	3794	128
0.16	4	377	leucine	"gout"	24.45	29.64	3794	128
0.16	4	377	leucine	"histiocytosis"	24.45	29.64	3794	128
0.16	4	377	leucine	"hypokalemia"	24.45	29.64	3794	128
0.16	4	377	leucine	"intestinal polyposis"	24.45	29.64	3794	128
0.16	4	377	leucine	"myasthenia gravis"	24.45	29.64	3794	128
0.16	4	377	leucine	"polyradiculoneuropathy"	24.45	29.64	3794	128
0.16	4	377	leucine	"vasculitis"	24.45	29.64	3794	128
0.16	4	383	methionine	"alopecia"	24.41	30.44	3835	126
0.16	4	383	methionine	"conjunctival diseases"	24.41	30.44	3835	126
0.16	4	383	methionine	"fibromyalgia"	24.41	30.44	3835	126
0.16	4	383	methionine	"glaucoma"	24.41	30.44	3835	126
0.16	4	383	methionine	"hypercalcemia"	24.41	30.44	3835	126
0.16	4	383	methionine	"hypertension, pulmonary"	24.41	30.44	3835	126
0.16	4	383	methionine	"irritable bowel syndrome"	24.41	30.44	3835	126
0.16	4	383	methionine	"long qt syndrome"	24.41	30.44	3835	126
0.16	4	383	methionine	"ocular hypertension"	24.41	30.44	3835	126
0.16	4	383	methionine	"uveitis"	24.41	30.44	3835	126
0.16	4	4788	aldosterone	"alzheimer disease"	25.23	106.23	11473	108
0.16	4	4788	aldosterone	"glaucoma"	25.23	106.23	11473	108
0.16	4	4788	aldosterone	"long qt syndrome"	25.23	106.23	11473	108
0.16	4	4788	aldosterone	"ocular hypertension"	25.23	106.23	11473	108
0.16	4	4788	aldosterone	"osteoarthritis"	25.23	106.23	11473	108
0.16	4	4788	aldosterone	"reflex sympathetic dystrophy"	25.23	106.23	11473	108
0.16	4	4788	aldosterone	"tauopathies"	25.23	106.23	11473	108
0.16	4	4788	aldosterone	"xerostomia"	25.23	106.23	11473	108
0.16	4	485	ramipril	"diabetic retinopathy"	24.94	40.38	1292	32
0.16	4	485	ramipril	"pulmonary heart disease"	24.94	40.38	1292	32
0.16	4	558	perindopril	"alzheimer disease"	25.50	44.50	1157	26
0.16	4	558	perindopril	"tauopathies"	25.50	44.50	1157	26
0.16	4	580	candesartan	"lupus erythematosus, systemic"	25.03	40.97	1270	31
0.16	4	580	candesartan	"pancreatitis"	25.03	40.97	1270	31
0.16	4	580	candesartan	"polycystic kidney diseases"	25.03	40.97	1270	31
0.16	4	596	transferrin	"amenorrhea"	25.49	39.89	5146	129
0.16	4	596	transferrin	"chagas disease"	25.49	39.89	5146	129
0.16	4	596	transferrin	"erythema"	25.49	39.89	5146	129
0.16	4	596	transferrin	"gout"	25.49	39.89	5146	129
0.16	4	596	transferrin	"muscular dystrophies"	25.49	39.89	5146	129
0.16	4	596	transferrin	"myasthenia gravis"	25.49	39.89	5146	129
0.16	4	596	transferrin	"myositis"	25.49	39.89	5146	129
0.16	4	596	transferrin	"pelvic inflammatory disease"	25.49	39.89	5146	129
0.16	4	596	transferrin	"polycystic kidney diseases"	25.49	39.89	5146	129
0.16	4	596	transferrin	"sexual dysfunction, physiological"	25.49	39.89	5146	129
0.16	4	596	transferrin	"wasting syndrome"	25.49	39.89	5146	129
0.16	4	614	valsartan	"vasculitis"	25.07	45.18	1265	28
0.16	4	615	antithrombin	"cytomegalovirus infections"	24.73	42.32	4274	101
0.16	4	615	antithrombin	"dyskinesias"	24.73	42.32	4274	101
0.16	4	615	antithrombin	"graves disease"	24.73	42.32	4274	101
0.16	4	615	antithrombin	"prostatic hyperplasia"	24.73	42.32	4274	101
0.16	4	615	antithrombin	"psoriasis"	24.73	42.32	4274	101
0.16	4	615	antithrombin	"substance withdrawal syndrome"	24.73	42.32	4274	101
0.16	4	682	choline	"amyloidosis"	25.01	38.73	4609	119
0.16	4	682	choline	"behcet syndrome"	25.01	38.73	4609	119
0.16	4	682	choline	"cushing syndrome"	25.01	38.73	4609	119
0.16	4	682	choline	"gastroesophageal reflux"	25.01	38.73	4609	119
0.16	4	682	choline	"hypertension, pulmonary"	25.01	38.73	4609	119
0.16	4	682	choline	"leishmaniasis"	25.01	38.73	4609	119
0.16	4	682	choline	"muscle spasticity"	25.01	38.73	4609	119
0.16	4	682	choline	"psoriasis"	25.01	38.73	4609	119
0.16	4	682	choline	"pulmonary fibrosis"	25.01	38.73	4609	119
0.16	4	682	choline	"sexual dysfunctions, psychological"	25.01	38.73	4609	119
0.16	4	682	choline	"thalassemia"	25.01	38.73	4609	119
0.16	4	764	bevacizumab	"behcet syndrome"	24.50	62.89	2893	46
0.16	4	764	bevacizumab	"granuloma"	24.50	62.89	2893	46
0.16	4	764	bevacizumab	"psoriasis"	24.50	62.89	2893	46
0.16	4	764	bevacizumab	"renal insufficiency, chronic"	24.50	62.89	2893	46
0.16	4	764	bevacizumab	"vomiting"	24.50	62.89	2893	46
0.16	5	2143	fluorescein	"adenomatous polyposis coli"	31.28	90.94	12004	132
0.16	5	2143	fluorescein	"alopecia"	31.28	90.94	12004	132
0.16	5	2143	fluorescein	"intestinal polyposis"	31.28	90.94	12004	132
0.16	5	2143	fluorescein	"parkinson disease"	31.28	90.94	12004	132
0.16	5	2143	fluorescein	"stevens-johnson syndrome"	31.28	90.94	12004	132
0.16	5	2194	acetylcholine	"leg ulcer"	31.41	91.31	12875	141
0.16	5	2194	acetylcholine	"meningitis"	31.41	91.31	12875	141
0.16	5	275	bivalirudin	"renal insufficiency, chronic"	32.08	46.67	560	12
0.16	5	291	eptifibatide	"peripheral vascular diseases"	31.09	51.91	571	11
0.16	5	3147	norepinephrine	"anemia, sickle cell"	30.33	77.39	10216	132
0.16	5	3147	norepinephrine	"cystitis, interstitial"	30.33	77.39	10216	132
0.16	5	3147	norepinephrine	"inflammatory bowel diseases"	30.33	77.39	10216	132
0.16	5	3147	norepinephrine	"lymphoma, non-hodgkin"	30.33	77.39	10216	132
0.16	5	3147	norepinephrine	"malaria"	30.33	77.39	10216	132
0.16	5	3147	norepinephrine	"postoperative nausea and vomiting"	30.33	77.39	10216	132
0.16	5	3147	norepinephrine	"temporomandibular joint disorders"	30.33	77.39	10216	132
0.16	5	523	formoterol	"dyskinesias"	31.00	101.71	712	7
0.16	5	684	serine	"angina pectoris"	31.74	43.62	6456	148
0.16	5	684	serine	"arthritis, reactive"	31.74	43.62	6456	148
0.16	5	684	serine	"autistic disorder"	31.74	43.62	6456	148
0.16	5	684	serine	"eczema"	31.74	43.62	6456	148
0.16	5	684	serine	"fatigue syndrome, chronic"	31.74	43.62	6456	148
0.16	5	684	serine	"megacolon"	31.74	43.62	6456	148
0.16	5	684	serine	"sexual dysfunctions, psychological"	31.74	43.62	6456	148
0.16	6	1361	dexamethasone	"autistic disorder"	36.40	76.45	12385	162
0.16	6	1361	dexamethasone	"gastroesophageal reflux"	36.40	76.45	12385	162
0.16	6	1361	dexamethasone	"irritable bowel syndrome"	36.40	76.45	12385	162
0.16	6	1361	dexamethasone	"leprosy"	36.40	76.45	12385	162
0.16	6	1361	dexamethasone	"oral ulcer"	36.40	76.45	12385	162
0.16	6	1361	dexamethasone	"spondylarthritis"	36.40	76.45	12385	162
0.16	6	1361	dexamethasone	"stomatitis, aphthous"	36.40	76.45	12385	162
0.16	6	1361	dexamethasone	"trigeminal neuralgia"	36.40	76.45	12385	162
0.16	6	14507	angiotensin	"antiphospholipid syndrome"	36.76	253.97	36318	143
0.16	6	14507	angiotensin	"arthritis, psoriatic"	36.76	253.97	36318	143
0.16	6	14507	angiotensin	"leg ulcer"	36.76	253.97	36318	143
0.16	6	14507	angiotensin	"thalassemia"	36.76	253.97	36318	143
0.16	6	3795	cyclophosphamide	"gastritis"	37.06	156.45	21903	140
0.16	6	3795	cyclophosphamide	"intestinal polyposis"	37.06	156.45	21903	140
0.16	6	3795	cyclophosphamide	"spondylitis, ankylosing"	37.06	156.45	21903	140
0.16	7	1988	gold	"arthritis, reactive"	43.51	75.88	13506	178
0.16	7	1988	gold	"cystitis"	43.51	75.88	13506	178
0.16	7	1988	gold	"muscle spasticity"	43.51	75.88	13506	178
0.16	7	1988	gold	"stomatitis, aphthous"	43.51	75.88	13506	178
0.16	7	4063	hemoglobin	"antiphospholipid syndrome"	43.09	185.79	30841	166
0.16	7	4063	hemoglobin	"autistic disorder"	43.09	185.79	30841	166
0.16	7	4063	hemoglobin	"conjunctival diseases"	43.09	185.79	30841	166
0.16	7	4063	hemoglobin	"pericarditis"	43.09	185.79	30841	166
0.16	7	4063	hemoglobin	"urinary incontinence, stress"	43.09	185.79	30841	166
0.16	8	3982	interferon	"addison disease"	51.16	172.90	28356	164
0.16	8	3982	interferon	"back pain"	51.16	172.90	28356	164
0.16	8	3982	interferon	"mixed connective tissue disease"	51.16	172.90	28356	164
0.17	2	110	meropenem	"diabetes mellitus, type 2"	11.58	11.90	369	31
0.17	2	110	meropenem	"gingivitis"	11.58	11.90	369	31
0.17	2	110	meropenem	"inflammatory bowel diseases"	11.58	11.90	369	31
0.17	2	110	meropenem	"myositis"	11.58	11.90	369	31
0.17	2	110	meropenem	"periodontitis"	11.58	11.90	369	31
0.17	2	110	meropenem	"peripheral vascular diseases"	11.58	11.90	369	31
0.17	2	110	meropenem	"vomiting"	11.58	11.90	369	31
0.17	2	117	nateglinide	"arteriosclerosis"	11.91	13.45	148	11
0.17	2	117	nateglinide	"coronary disease"	11.91	13.45	148	11
0.17	2	117	nateglinide	"diabetic nephropathies"	11.91	13.45	148	11
0.17	2	117	nateglinide	"erythema"	11.91	13.45	148	11
0.17	2	117	nateglinide	"liver cirrhosis"	11.91	13.45	148	11
0.17	2	117	nateglinide	"renal insufficiency, chronic"	11.91	13.45	148	11
0.17	2	118	paromomycin	"colitis, ulcerative"	11.50	13.00	156	12
0.17	2	118	paromomycin	"gastritis"	11.50	13.00	156	12
0.17	2	118	paromomycin	"inflammatory bowel diseases"	11.50	13.00	156	12
0.17	2	118	paromomycin	"leukemia"	11.50	13.00	156	12
0.17	2	118	paromomycin	"lupus erythematosus, systemic"	11.50	13.00	156	12
0.17	2	118	paromomycin	"lymphoma"	11.50	13.00	156	12
0.17	2	118	paromomycin	"trypanosomiasis"	11.50	13.00	156	12
0.17	2	131	pimecrolimus	"behcet syndrome"	11.50	12.91	284	22
0.17	2	131	pimecrolimus	"conjunctival diseases"	11.50	12.91	284	22
0.17	2	131	pimecrolimus	"dry eye syndromes"	11.50	12.91	284	22
0.17	2	131	pimecrolimus	"leukemia"	11.50	12.91	284	22
0.17	2	131	pimecrolimus	"sleep disorders"	11.50	12.91	284	22
0.17	2	131	pimecrolimus	"uveitis"	11.50	12.91	284	22
0.17	2	131	pimecrolimus	"vasculitis"	11.50	12.91	284	22
0.17	2	134	domperidone	"alzheimer disease"	11.76	12.68	469	37
0.17	2	134	domperidone	"amenorrhea"	11.76	12.68	469	37
0.17	2	134	domperidone	"angina pectoris"	11.76	12.68	469	37
0.17	2	134	domperidone	"cachexia"	11.76	12.68	469	37
0.17	2	134	domperidone	"cardiomyopathies"	11.76	12.68	469	37
0.17	2	134	domperidone	"diabetes mellitus, type 2"	11.76	12.68	469	37
0.17	2	134	domperidone	"epilepsy"	11.76	12.68	469	37
0.17	2	134	domperidone	"lupus erythematosus, systemic"	11.76	12.68	469	37
0.17	2	134	domperidone	"lymphoma"	11.76	12.68	469	37
0.17	2	134	domperidone	"multiple sclerosis"	11.76	12.68	469	37
0.17	2	134	domperidone	"obesity"	11.76	12.68	469	37
0.17	2	134	domperidone	"renal insufficiency, chronic"	11.76	12.68	469	37
0.17	2	134	domperidone	"tauopathies"	11.76	12.68	469	37
0.17	2	136	thiopental	"amyotrophic lateral sclerosis"	11.44	12.16	608	50
0.17	2	136	thiopental	"dry eye syndromes"	11.44	12.16	608	50
0.17	2	136	thiopental	"glaucoma"	11.44	12.16	608	50
0.17	2	136	thiopental	"granuloma"	11.44	12.16	608	50
0.17	2	136	thiopental	"huntington disease"	11.44	12.16	608	50
0.17	2	136	thiopental	"leukemia"	11.44	12.16	608	50
0.17	2	136	thiopental	"lymphoma"	11.44	12.16	608	50
0.17	2	136	thiopental	"motor neuron disease"	11.44	12.16	608	50
0.17	2	136	thiopental	"serotonin syndrome"	11.44	12.16	608	50
0.17	2	136	thiopental	"sleep disorders"	11.44	12.16	608	50
0.17	2	136	thiopental	"sphingolipidoses"	11.44	12.16	608	50
0.17	2	136	thiopental	"urination disorders"	11.44	12.16	608	50
0.17	2	139	loratadine	"depressive disorder"	11.88	14.18	241	17
0.17	2	139	loratadine	"epilepsy"	11.88	14.18	241	17
0.17	2	139	loratadine	"granuloma"	11.88	14.18	241	17
0.17	2	139	loratadine	"lymphoma"	11.88	14.18	241	17
0.17	2	139	loratadine	"malaria"	11.88	14.18	241	17
0.17	2	139	loratadine	"menstruation disturbances"	11.88	14.18	241	17
0.17	2	139	loratadine	"sexual dysfunctions, psychological"	11.88	14.18	241	17
0.17	2	139	loratadine	"vasculitis"	11.88	14.18	241	17
0.17	2	1521	voriconazole	"asthma"	11.68	47.68	1955	41
0.17	2	1521	voriconazole	"crohn disease"	11.68	47.68	1955	41
0.17	2	1521	voriconazole	"epilepsy"	11.68	47.68	1955	41
0.17	2	1521	voriconazole	"hodgkin disease"	11.68	47.68	1955	41
0.17	2	1521	voriconazole	"inflammatory bowel diseases"	11.68	47.68	1955	41
0.17	2	1521	voriconazole	"myocardial ischemia"	11.68	47.68	1955	41
0.17	2	1521	voriconazole	"myositis"	11.68	47.68	1955	41
0.17	2	1521	voriconazole	"nephritis"	11.68	47.68	1955	41
0.17	2	1521	voriconazole	"pancreatitis"	11.68	47.68	1955	41
0.17	2	1521	voriconazole	"periodontitis"	11.68	47.68	1955	41
0.17	2	1521	voriconazole	"peripheral vascular diseases"	11.68	47.68	1955	41
0.17	2	1521	voriconazole	"respiratory distress syndrome, adult"	11.68	47.68	1955	41
0.17	2	1521	voriconazole	"sleep disorders"	11.68	47.68	1955	41
0.17	2	172	disopyramide	"arthritis, rheumatoid"	11.73	14.13	424	30
0.17	2	172	disopyramide	"dyskinesias"	11.73	14.13	424	30
0.17	2	172	disopyramide	"fatigue syndrome, chronic"	11.73	14.13	424	30
0.17	2	172	disopyramide	"glaucoma"	11.73	14.13	424	30
0.17	2	172	disopyramide	"lupus erythematosus, systemic"	11.73	14.13	424	30
0.17	2	172	disopyramide	"muscular dystrophies"	11.73	14.13	424	30
0.17	2	172	disopyramide	"myotonic dystrophy"	11.73	14.13	424	30
0.17	2	172	disopyramide	"nephritis"	11.73	14.13	424	30
0.17	2	172	disopyramide	"ocular hypertension"	11.73	14.13	424	30
0.17	2	172	disopyramide	"peptic ulcer"	11.73	14.13	424	30
0.17	2	172	disopyramide	"vomiting"	11.73	14.13	424	30
0.17	2	179	piroxicam	"crohn disease"	11.63	14.49	710	49
0.17	2	179	piroxicam	"fibromyalgia"	11.63	14.49	710	49
0.17	2	179	piroxicam	"liver cirrhosis"	11.63	14.49	710	49
0.17	2	179	piroxicam	"meningitis"	11.63	14.49	710	49
0.17	2	179	piroxicam	"pulmonary fibrosis"	11.63	14.49	710	49
0.17	2	181	levamisole	"alcoholism"	11.99	13.19	884	67
0.17	2	181	levamisole	"alopecia"	11.99	13.19	884	67
0.17	2	181	levamisole	"arteriosclerosis"	11.99	13.19	884	67
0.17	2	181	levamisole	"cytomegalovirus infections"	11.99	13.19	884	67
0.17	2	181	levamisole	"graves disease"	11.99	13.19	884	67
0.17	2	181	levamisole	"hypertension"	11.99	13.19	884	67
0.17	2	181	levamisole	"myasthenia gravis"	11.99	13.19	884	67
0.17	2	181	levamisole	"myocardial ischemia"	11.99	13.19	884	67
0.17	2	181	levamisole	"osteoarthritis"	11.99	13.19	884	67
0.17	2	181	levamisole	"psoriasis"	11.99	13.19	884	67
0.17	2	181	levamisole	"pulmonary fibrosis"	11.99	13.19	884	67
0.17	2	181	levamisole	"trypanosomiasis"	11.99	13.19	884	67
0.17	2	188	procainamide	"bipolar disorder"	11.82	16.11	612	38
0.17	2	188	procainamide	"diabetes mellitus, type 2"	11.82	16.11	612	38
0.17	2	188	procainamide	"dyskinesias"	11.82	16.11	612	38
0.17	2	188	procainamide	"granuloma"	11.82	16.11	612	38
0.17	2	188	procainamide	"hyperaldosteronism"	11.82	16.11	612	38
0.17	2	188	procainamide	"intraoperative complications"	11.82	16.11	612	38
0.17	2	188	procainamide	"lymphoma"	11.82	16.11	612	38
0.17	2	188	procainamide	"myositis"	11.82	16.11	612	38
0.17	2	188	procainamide	"pancreatitis"	11.82	16.11	612	38
0.17	2	188	procainamide	"polyradiculoneuropathy"	11.82	16.11	612	38
0.17	2	188	procainamide	"urination disorders"	11.82	16.11	612	38
0.17	2	204	tropisetron	"alcoholism"	11.47	16.95	322	19
0.17	2	204	tropisetron	"arthritis, rheumatoid"	11.47	16.95	322	19
0.17	2	204	tropisetron	"carcinoma, non-small-cell lung"	11.47	16.95	322	19
0.17	2	204	tropisetron	"dyskinesias"	11.47	16.95	322	19
0.17	2	204	tropisetron	"facial pain"	11.47	16.95	322	19
0.17	2	204	tropisetron	"hypertension"	11.47	16.95	322	19
0.17	2	204	tropisetron	"lymphoma"	11.47	16.95	322	19
0.17	2	204	tropisetron	"obesity"	11.47	16.95	322	19
0.17	2	218	carbenoxolone	"arthritis, rheumatoid"	11.91	17.27	380	22
0.17	2	218	carbenoxolone	"asthma"	11.91	17.27	380	22
0.17	2	218	carbenoxolone	"mycoses"	11.91	17.27	380	22
0.17	2	218	carbenoxolone	"pancreatitis"	11.91	17.27	380	22
0.17	2	218	carbenoxolone	"trigeminal neuralgia"	11.91	17.27	380	22
0.17	2	218	carbenoxolone	"vasculitis"	11.91	17.27	380	22
0.17	2	21	saruplase	"coronary disease"	11.50	11.50	23	2
0.17	2	224	inosine	"attention deficit disorder with hyperactivity"	11.92	14.43	866	60
0.17	2	224	inosine	"chagas disease"	11.92	14.43	866	60
0.17	2	224	inosine	"hodgkin disease"	11.92	14.43	866	60
0.17	2	224	inosine	"hypertension, pulmonary"	11.92	14.43	866	60
0.17	2	224	inosine	"ocular hypertension"	11.92	14.43	866	60
0.17	2	224	inosine	"periodontitis"	11.92	14.43	866	60
0.17	2	224	inosine	"psoriasis"	11.92	14.43	866	60
0.17	2	224	inosine	"substance withdrawal syndrome"	11.92	14.43	866	60
0.17	2	224	inosine	"uveitis"	11.92	14.43	866	60
0.17	2	224	inosine	"vasculitis"	11.92	14.43	866	60
0.17	2	242	sitagliptin	"psoriasis"	11.69	20.56	329	16
0.17	2	27	bromhexine	"diabetic nephropathies"	11.78	11.78	106	9
0.17	2	27	bromhexine	"pulmonary fibrosis"	11.78	11.78	106	9
0.17	2	27	bromhexine	"respiratory distress syndrome, adult"	11.78	11.78	106	9
0.17	2	29	perospirone	"obsessive-compulsive disorder"	12.00	12.00	36	3
0.17	2	303	betamethasone	"acquired immunodeficiency syndrome"	12.05	14.33	1304	91
0.17	2	303	betamethasone	"amenorrhea"	12.05	14.33	1304	91
0.17	2	303	betamethasone	"amyloidosis"	12.05	14.33	1304	91
0.17	2	303	betamethasone	"arthritis, psoriatic"	12.05	14.33	1304	91
0.17	2	303	betamethasone	"cachexia"	12.05	14.33	1304	91
0.17	2	303	betamethasone	"carcinoma, non-small-cell lung"	12.05	14.33	1304	91
0.17	2	303	betamethasone	"celiac disease"	12.05	14.33	1304	91
0.17	2	303	betamethasone	"encephalitis"	12.05	14.33	1304	91
0.17	2	303	betamethasone	"fibromyalgia"	12.05	14.33	1304	91
0.17	2	303	betamethasone	"histiocytosis"	12.05	14.33	1304	91
0.17	2	303	betamethasone	"hodgkin disease"	12.05	14.33	1304	91
0.17	2	303	betamethasone	"hypercalcemia"	12.05	14.33	1304	91
0.17	2	303	betamethasone	"leg ulcer"	12.05	14.33	1304	91
0.17	2	303	betamethasone	"leprosy"	12.05	14.33	1304	91
0.17	2	303	betamethasone	"multiple sclerosis"	12.05	14.33	1304	91
0.17	2	303	betamethasone	"obesity"	12.05	14.33	1304	91
0.17	2	303	betamethasone	"osteonecrosis"	12.05	14.33	1304	91
0.17	2	303	betamethasone	"peripheral vascular diseases"	12.05	14.33	1304	91
0.17	2	303	betamethasone	"reflex sympathetic dystrophy"	12.05	14.33	1304	91
0.17	2	303	betamethasone	"sexual dysfunctions, psychological"	12.05	14.33	1304	91
0.17	2	303	betamethasone	"temporomandibular joint disorders"	12.05	14.33	1304	91
0.17	2	303	betamethasone	"xerostomia"	12.05	14.33	1304	91
0.17	2	320	nilotinib	"diabetes mellitus, type 2"	11.92	30.25	363	12
0.17	2	320	nilotinib	"graft vs host disease"	11.92	30.25	363	12
0.17	2	320	nilotinib	"hypertension"	11.92	30.25	363	12
0.17	2	320	nilotinib	"renal insufficiency, chronic"	11.92	30.25	363	12
0.17	2	338	pyridoxine	"back pain"	11.45	14.43	1154	80
0.17	2	338	pyridoxine	"crohn disease"	11.45	14.43	1154	80
0.17	2	338	pyridoxine	"cystic fibrosis"	11.45	14.43	1154	80
0.17	2	338	pyridoxine	"dermatitis, exfoliative"	11.45	14.43	1154	80
0.17	2	338	pyridoxine	"diabetic nephropathies"	11.45	14.43	1154	80
0.17	2	338	pyridoxine	"dysmenorrhea"	11.45	14.43	1154	80
0.17	2	338	pyridoxine	"eczema"	11.45	14.43	1154	80
0.17	2	338	pyridoxine	"endocarditis"	11.45	14.43	1154	80
0.17	2	338	pyridoxine	"glaucoma"	11.45	14.43	1154	80
0.17	2	338	pyridoxine	"hodgkin disease"	11.45	14.43	1154	80
0.17	2	338	pyridoxine	"macular degeneration"	11.45	14.43	1154	80
0.17	2	338	pyridoxine	"muscular dystrophies"	11.45	14.43	1154	80
0.17	2	338	pyridoxine	"mycoses"	11.45	14.43	1154	80
0.17	2	338	pyridoxine	"ocular hypertension"	11.45	14.43	1154	80
0.17	2	338	pyridoxine	"osteoarthritis"	11.45	14.43	1154	80
0.17	2	338	pyridoxine	"osteoporosis"	11.45	14.43	1154	80
0.17	2	338	pyridoxine	"psoriasis"	11.45	14.43	1154	80
0.17	2	338	pyridoxine	"sexual dysfunction, physiological"	11.45	14.43	1154	80
0.17	2	338	pyridoxine	"spondylarthritis"	11.45	14.43	1154	80
0.17	2	340	meglumine	"acquired immunodeficiency syndrome"	11.94	18.80	658	35
0.17	2	340	meglumine	"angina pectoris"	11.94	18.80	658	35
0.17	2	340	meglumine	"arthritis, rheumatoid"	11.94	18.80	658	35
0.17	2	340	meglumine	"diabetes mellitus, type 1"	11.94	18.80	658	35
0.17	2	340	meglumine	"hypokalemia"	11.94	18.80	658	35
0.17	2	340	meglumine	"leukemia"	11.94	18.80	658	35
0.17	2	340	meglumine	"liver cirrhosis"	11.94	18.80	658	35
0.17	2	340	meglumine	"mycoses"	11.94	18.80	658	35
0.17	2	340	meglumine	"pelvic inflammatory disease"	11.94	18.80	658	35
0.17	2	340	meglumine	"pericarditis"	11.94	18.80	658	35
0.17	2	340	meglumine	"respiratory distress syndrome, adult"	11.94	18.80	658	35
0.17	2	340	meglumine	"trypanosomiasis"	11.94	18.80	658	35
0.17	2	341	guanethidine	"arthritis, rheumatoid"	11.51	17.69	690	39
0.17	2	341	guanethidine	"conjunctival diseases"	11.51	17.69	690	39
0.17	2	341	guanethidine	"diabetes mellitus, type 1"	11.51	17.69	690	39
0.17	2	341	guanethidine	"gastroesophageal reflux"	11.51	17.69	690	39
0.17	2	341	guanethidine	"hyperhidrosis"	11.51	17.69	690	39
0.17	2	341	guanethidine	"hypertension, pulmonary"	11.51	17.69	690	39
0.17	2	341	guanethidine	"leukemia"	11.51	17.69	690	39
0.17	2	341	guanethidine	"megacolon"	11.51	17.69	690	39
0.17	2	341	guanethidine	"migraine disorders"	11.51	17.69	690	39
